fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;sol;presMax;horaPresMax;presMin;horaPresMin;hrMedia;hrMax;horaHrMax;hrMin;horaHrMin
2025-01-01;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,2;0,0;3,4;05:56;16,9;14:45;07;3,9;9,7;10:43;9,1;1025,6;Varias;1022,8;14;68;93;06:01;44;15:36
2025-01-02;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,6;0,0;3,1;06:52;18,0;15:42;05;2,5;7,2;09:51;9,3;1026,7;Varias;1023,1;15;69;93;07:03;46;15:31
2025-01-03;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,4;0,0;2,5;07:16;18,2;15:29;99;1,1;6,1;Varias;8,3;1025,7;Varias;1022,3;16;73;96;Varias;47;16:19
2025-01-04;5783;SEVILLA AEROPUERTO;SEVILLA;34;9,2;0,1;2,6;02:12;15,7;15:05;05;1,7;5,8;Varias;2,0;1023,5;Varias;1017,6;24;78;96;Varias;58;15:15
2025-01-05;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,7;8,7;8,6;07:38;18,8;12:03;99;4,2;13,9;Varias;2,4;1017,6;00;1007,7;17;77;96;08:27;47;13:26
2025-01-06;5783;SEVILLA AEROPUERTO;SEVILLA;34;12,5;0,1;7,3;23:58;17,7;13:46;30;5,3;11,4;14:52;6,4;1018,1;Varias;1005,2;03;77;97;Varias;49;14:38
2025-01-07;5783;SEVILLA AEROPUERTO;SEVILLA;34;9,8;0,0;3,2;07:41;16,5;14:24;99;1,4;3,6;Varias;8,5;1023,0;Varias;1018,1;00;81;98;05:14;58;14:31
2025-01-08;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,8;7,9;5,3;07:34;18,2;14:43;24;3,3;10,3;14:41;6,3;1021,1;Varias;1017,7;16;80;97;Varias;62;12:03
2025-01-09;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,4;Ip;9,0;23:32;17,9;13:57;99;0,8;8,9;Varias;7,3;1024,1;Varias;1018,2;00;91;100;Varias;75;16:19
2025-01-10;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,3;Ip;7,3;03:27;15,3;15:18;02;1,9;6,7;09:22;2,2;1026,9;Varias;1023,5;02;95;100;Varias;81;15:35
2025-01-11;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,8;0,2;10,6;03:10;17,1;15:40;22;1,7;4,2;13:16;1,0;1027,6;Varias;1024,4;17;97;100;Varias;84;15:58
2025-01-12;5783;SEVILLA AEROPUERTO;SEVILLA;34;13,2;Ip;7,2;23:56;19,3;14:29;08;2,5;8,9;15:06;7,9;1025,5;Varias;1022,0;15;83;100;Varias;52;13:57
2025-01-13;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,9;0,0;4,7;Varias;17,1;16:32;05;2,8;8,9;11:37;9,5;1025,2;Varias;1021,5;16;61;93;Varias;29;15:59
2025-01-14;5783;SEVILLA AEROPUERTO;SEVILLA;34;9,6;0,0;3,6;22:13;15,6;13:48;06;5,0;11,7;08:25;9,4;1026,6;Varias;1022,5;01;53;85;00:01;40;15:38
2025-01-15;5783;SEVILLA AEROPUERTO;SEVILLA;34;9,0;0,0;1,7;07:01;16,3;15:49;05;2,5;6,7;11:22;9,6;1026,9;Varias;1022,0;24;61;94;08:01;25;14:56
2025-01-16;5783;SEVILLA AEROPUERTO;SEVILLA;34;8,4;0,0;0,7;04:23;16,0;15:18;99;1,7;4,7;Varias;;1022,0;00;1016,9;15;63;95;08:00;37;16:03
2025-01-17;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,4;0,0;6,0;02:19;16,8;15:28;07;5,0;12,8;10:14;9,4;1023,3;Varias;1018,5;02;61;93;02:23;45;15:53
2025-01-18;5783;SEVILLA AEROPUERTO;SEVILLA;34;10,4;0,0;3,5;03:02;17,3;15:15;08;2,5;6,7;10:08;9,5;1023,8;Varias;1020,1;16;69;97;04:06;46;16:04
2025-01-19;5783;SEVILLA AEROPUERTO;SEVILLA;34;9,0;0,0;1,9;06:36;16,0;13:48;06;1,4;5,0;10:02;5,6;1020,5;00;1016,5;17;76;97;08:20;54;15:54
2025-01-20;5783;SEVILLA AEROPUERTO;SEVILLA;34;11,6;55,3;9,9;05:48;13,3;12:02;99;2,5;9,2;Varias;0,0;1017,2;00;1011,6;24;92;99;Varias;80;12:11
2025-01-21;5783;SEVILLA AEROPUERTO;SEVILLA;34;15,0;9,9;11,5;00:36;18,6;11:31;18;4,4;11,7;16:47;;1011,8;Varias;1008,3;23;75;99;Varias;55;14:30
